no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
Caruaru,2604106,PE,Pernambuco          ,Nordeste    ,474.6,517.3,481.7,760.0,Sem problemas                                     
Santo Ângelo,4317509,RS,Rio Grande do Sul   ,Sul         ,518.0,575.4,461.9,880.0,Sem problemas                                     
Acari,2400109,RN,Rio Grande do Norte ,Nordeste    ,588.8,595.9,744.9,780.0,Sem problemas                                     
Tarauacá,1200609,AC,Acre                ,Norte       ,442.6,537.4,546.1,560.0,Sem problemas                                     
Carangola,3113305,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,414.8,494.8,386.2,540.0,Sem problemas                                     
Eusébio,2304285,CE,Ceará               ,Nordeste    ,,,,,Missing - Sem informação                          
Eldorado do Sul,4306767,RS,Rio Grande do Sul   ,Sul         ,438.5,442.8,392.8,280.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Santo Antônio de Jesus,2928703,BA,Bahia               ,Nordeste    ,467.6,535.7,461.7,640.0,Sem problemas                                     
Júlio de Castilhos,4311205,RS,Rio Grande do Sul   ,Sul         ,386.2,484.7,467.2,300.0,Sem problemas                                     
Caucaia,2303709,CE,Ceará               ,Nordeste    ,505.5,571.6,533.7,480.0,Sem problemas                                     
Nossa Senhora Aparecida,2804458,SE,Sergipe             ,Nordeste    ,475.6,552.9,546.1,880.0,Sem problemas                                     
Pacoti,2309805,CE,Ceará               ,Nordeste    ,446.9,510.7,482.0,540.0,Sem problemas                                     
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
São Gonçalo do Amarante,2312403,CE,Ceará               ,Nordeste    ,348.6,470.3,436.0,360.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Caratinga,3113404,MG,Minas Gerais        ,Sudeste     ,533.6,604.2,694.4,620.0,Sem problemas                                     
Canindé,2302800,CE,Ceará               ,Nordeste    ,397.0,538.0,611.4,600.0,Sem problemas                                     
Sant'Ana do Livramento,4317103,RS,Rio Grande do Sul   ,Sul         ,,549.4,,580.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,581.6,586.7,613.7,880.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,597.4,514.0,494.1,600.0,Sem problemas                                     
Pedra Branca,2310506,CE,Ceará               ,Nordeste    ,454.9,503.0,379.8,540.0,Sem problemas                                     
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,508.1,557.7,458.2,700.0,Sem problemas                                     
Laranjeiras do Sul,4113304,PR,Paraná              ,Sul         ,451.8,479.3,378.6,460.0,Sem problemas                                     
Itaituba,1503606,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Capim Grosso,2906873,BA,Bahia               ,Nordeste    ,,511.8,,540.0,Sem problemas                                     
Nova Russas,2309300,CE,Ceará               ,Nordeste    ,471.1,476.8,627.2,0.0,Em Branco                                         
Campo Belo,3111200,MG,Minas Gerais        ,Sudeste     ,497.4,533.0,484.5,540.0,Sem problemas                                     
Americana,3501608,SP,São Paulo           ,Sudeste     ,513.9,582.9,494.3,600.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,573.4,572.6,611.8,620.0,Sem problemas                                     
Redenção,2311603,CE,Ceará               ,Nordeste    ,,443.5,,340.0,Sem problemas                                     
São Leopoldo,4318705,RS,Rio Grande do Sul   ,Sul         ,616.4,568.1,656.7,720.0,Sem problemas                                     
Niterói,3303302,RJ,Rio de Janeiro      ,Sudeste     ,504.0,581.7,522.6,860.0,Sem problemas                                     
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,410.3,451.6,400.7,660.0,Sem problemas                                     
Angra dos Reis,3300100,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Tucano,2931905,BA,Bahia               ,Nordeste    ,450.3,529.5,481.1,860.0,Sem problemas                                     
São Vicente,3551009,SP,São Paulo           ,Sudeste     ,542.6,587.5,667.8,680.0,Sem problemas                                     
Pelotas,4314407,RS,Rio Grande do Sul   ,Sul         ,,477.0,,280.0,Sem problemas                                     
Sorocaba,3552205,SP,São Paulo           ,Sudeste     ,597.2,590.7,568.6,460.0,Sem problemas                                     
